,oligo,opc,glutamatergic,gabergic,protoplasmic_astrocyte,fibrous_astrocyte,microglia,t_cell,b_cell,pericyte,endothelial,unknown
ABCC9,0,0,0,0,0,0,0,0,0,1,0,0
AQP4,0,0,0,0,1,1,0,0,0,0,0,0
CD34,0,0,0,0,0,0,0,0,0,1,1,0
CD3E,0,0,0,0,0,0,0,1,0,0,0,0
CD44,0,0,0,0,0,1,0,0,0,0,0,0
CD8A,0,0,0,0,0,0,0,1,0,0,0,0
CD8B,0,0,0,0,0,0,0,1,0,0,0,0
CLDN11,1,0,0,0,0,0,0,0,0,0,0,0
CLDN5,0,0,0,0,0,0,0,0,0,0,1,0
CNP,1,0,0,0,0,0,0,0,0,0,0,0
FLT1,0,0,0,0,0,0,0,0,0,0,1,0
GAD2,0,0,0,1,0,0,0,0,0,0,0,0
GFAP,0,0,0,0,0,1,0,0,0,0,0,0
GJA1,0,0,0,0,1,0,0,0,0,0,0,0
GRIN2A,0,0,1,1,0,0,0,0,0,0,0,0
HIGD1B,0,0,0,0,0,0,0,0,0,1,0,0
IGHG1,0,0,0,0,0,0,0,0,1,0,0,0
KDR,0,0,0,0,0,0,0,0,0,0,1,0
LHFPL3,0,1,0,0,0,0,0,0,0,0,0,0
LHX6,0,0,0,1,0,0,0,0,0,0,0,0
MAG,1,0,0,0,0,0,0,0,0,0,0,0
MBP,1,0,0,0,0,0,0,0,0,0,0,0
MEGF11,0,1,0,0,0,0,0,0,0,0,0,0
MOG,1,0,0,0,0,0,0,0,0,0,0,0
NDUFA4L2,0,0,0,0,0,0,0,0,0,1,0,0
NEUROD6,0,0,1,0,0,0,0,0,0,0,0,0
NOTCH3,0,0,0,0,0,0,0,0,0,1,0,0
P2RY12,0,0,0,0,0,0,1,0,0,0,0,0
PCDH15,0,1,0,0,0,0,0,0,0,0,0,0
PDGFRA,0,1,0,0,0,0,0,0,0,0,0,0
PECAM1,0,0,0,0,0,0,0,0,0,0,1,0
PLP1,1,0,0,0,0,0,0,0,0,0,0,0
PTPRC,0,0,0,0,0,0,1,1,1,0,0,0
RBFOX3,0,0,1,1,0,0,0,0,0,0,0,0
RFX4,0,0,0,0,1,1,0,0,0,0,0,0
RGS5,0,0,0,0,0,0,0,0,0,1,0,0
SATB2,0,0,1,0,0,0,0,0,0,0,0,0
SLC17A6,0,0,1,0,0,0,0,0,0,0,0,0
SLC2A1,0,0,0,0,0,0,0,0,0,0,1,0
SLC32A1,0,0,0,1,0,0,0,0,0,0,0,0
ST18,1,0,0,0,0,0,0,0,0,0,0,0
TIE1,0,0,0,0,0,0,0,0,0,0,1,0
VWF,0,0,0,0,0,0,0,0,0,0,1,0
